Personaggi,Lady Montague,Benvolio,Paris,Nurse,Lord Capulet,Lady Capulet,Juliet,Mercutio,Friar Lawrence,Lord Montague,Tybald,Romeo
Lady Montague,0,1,0,0,1,1,0,0,0,1,1,1
Benvolio,1,0,1,1,2,1,0,4,0,1,2,6
Paris,0,1,0,1,4,3,1,0,3,1,0,2
Nurse,0,1,1,0,4,4,6,1,2,0,0,3
Lord Capulet,1,2,4,4,0,6,2,0,2,2,1,4
Lady Capulet,1,1,3,4,6,0,3,0,2,2,1,3
Juliet,0,0,1,6,2,3,0,0,2,0,0,3
Mercutio,0,4,0,1,0,0,0,0,0,0,1,4
Friar Lawrence,0,0,3,2,2,2,2,0,0,1,0,4
Lord Montague,1,1,1,0,2,2,0,0,1,0,1,2
Tybalt,1,2,0,0,1,1,0,1,0,1,0,2
Romeo,1,6,2,3,4,3,3,4,4,2,2,0
